D:/NEU-dataset\bear\1da4cf18-8744-11e8-8093-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1db9daa8-8744-11e8-aae2-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e018cbe-8744-11e8-baf4-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e10a5ba-8744-11e8-bd39-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e1e5e34-8744-11e8-b825-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e420e70-8744-11e8-bc4b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e508a80-8744-11e8-9846-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1e8cef80-8744-11e8-9840-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1eb1afc0-8744-11e8-972f-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1ebcd0e8-8744-11e8-818b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1ed7cf4c-8744-11e8-af54-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1ef27efa-8744-11e8-86b6-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1f04cbd0-8744-11e8-9395-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1f11c246-8744-11e8-bffa-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1f398fb8-8744-11e8-9457-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1f480c92-8744-11e8-ae4b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\1f5bdfd2-8744-11e8-9b74-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\202ca612-8744-11e8-abbd-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2056e470-8744-11e8-b8fb-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\208a2152-8744-11e8-a7a1-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\20c99208-8744-11e8-a7a3-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\20ec0966-8744-11e8-9aee-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\20fecc24-8744-11e8-93bd-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2114e7e2-8744-11e8-880e-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\212845f6-8744-11e8-a3d0-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\214392dc-8744-11e8-9583-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\21ad1a9c-8744-11e8-859f-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\21bc810c-8744-11e8-97c5-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\21d0a322-8744-11e8-81dd-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\22b08700-8744-11e8-8242-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23422aa8-8744-11e8-bbab-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23545086-8744-11e8-86f3-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23684e00-8744-11e8-88c8-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23776698-8744-11e8-8057-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23898c06-8744-11e8-ab5b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23a5ea36-8744-11e8-b9ea-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23b74be8-8744-11e8-a3ff-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23e55a18-8744-11e8-8f82-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\23f731cc-8744-11e8-bdfc-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\240f9836-8744-11e8-9232-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\24219774-8744-11e8-b1e5-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2432f936-8744-11e8-b871-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\24ef51e8-8744-11e8-86dc-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\24fee102-8744-11e8-8cac-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\25139e8c-8744-11e8-8b3a-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\25786af0-8744-11e8-a719-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\25cff3e6-8744-11e8-a6dc-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2631b4be-8744-11e8-a4f5-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2671c186-8744-11e8-932b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\276c31c8-8744-11e8-875a-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\278c383e-8744-11e8-9f69-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\27ccba2c-8744-11e8-acf5-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\27dbfb62-8744-11e8-a6ac-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\281eecd4-8744-11e8-b95c-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\282a360a-8744-11e8-97d4-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\283b4b8a-8744-11e8-ba8e-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2850cafa-8744-11e8-b837-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\28653a68-8744-11e8-970d-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\28d32f80-8744-11e8-865e-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\28e74f9a-8744-11e8-8181-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\29bb9b5c-8744-11e8-a39e-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\29cd4b26-8744-11e8-801b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\29db79b8-8744-11e8-923b-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2a561898-8744-11e8-bcc8-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2a7b9c6e-8744-11e8-8eab-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2a911c1e-8744-11e8-ba91-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2aa0aa1e-8744-11e8-bfd8-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2ad63136-8744-11e8-942d-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2aefd10a-8744-11e8-9bae-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2b0cc99a-8744-11e8-ac1a-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2b1b6e4c-8744-11e8-ae85-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2b45fab8-8744-11e8-8e0d-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2b6208fe-8744-11e8-9a24-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2c746576-8744-11e8-9931-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2ca61c9a-8744-11e8-8312-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2cb42330-8744-11e8-9a9d-1c39473dbc6d.jpg.jpg,bear
D:/NEU-dataset\bear\2cdbc998-8744-11e8-b5c0-1c39473dbc6d.jpg.jpg,bear
